"HolderAddress","Balance","PendingBalanceUpdate"
"0x03b1cdd40f5f00b4a67ca6c537898cf5101650fa","38.07","No"
"0x03c2f913cc7116f9f2b984db11761351dfe528c3","2.58066090190631","No"
"0x03ccdc574a169c68f68696c5039bf6232009aa51","166.908970092475","No"
"0x03cf17b8ab226ecd73307733cb51d2cad936de04","10.327355689229","No"
"0x03cfcc33ac2828235c76b44ebac269cf7ae0c55c","1.26539954725255","No"
"0x03d02d6689ee7535ff51ad5149de1b46a1b51715","5","No"
"0x03fad24bf4c847dbaa0d64135fd4151d86fff97f","5.25062872830279","No"
"0x03fde74f3bd163028805834279bf01872ad779df","11.3284261340605","No"
"0x0403379e2977e2e522032782bcfd811a7a6fa02e","201.048577187635","No"
"0x0411b16bdd92f02cc4aafe113416355ebd0c9ab5","246.48603275523","No"
"0x0419b457da1a9b21504e7af08e9ec4380933522f","4.09370982562282","No"
"0x0419c0a91ba6cf14924053931f7504d0f9ebe674","1.03287389593316","No"
"0x041d4542f622eaa7fbf57c0ee35a65d4022e5ba1","13.4759869952932","No"
"0x04243fcf651594567bf320caacd71ada7217102d","10.0973579382755","No"
"0x0435b1e13edc96b838d4ab41389272616433e974","7.2042396895833E-05","No"
"0x0436d1d516504c58d1f473fa7a1559b9f7b753e7","2.23649532","No"
"0x043d5ecd5ab4e7b3c0fdf5a06f59d1ffe6277b74","0.00345572","No"
"0x04411582cc882e5a35d753c3e23fb707e6daeefa","4","No"
"0x0444bb2045b907044ffdcb35babe0c6833e8b4ab","1.29977202","No"
"0x046827f90271e5e7737bac35c49accafe6c1d719","11.1653339930893","No"
"0x0484fe17519f1e0a9f6421a38a760ad031c16c86","32.5623396406093","No"
"0x048788d0be73cf94dfa6e7e118b267528bba301b","2.00000787702551","No"
"0x049352df3c7ce9b54173f21a4e9d85e65641eccb","23.25579461","No"
"0x04948c236fbe41704481a140e7f77fcca73546c6","3.06323506427811","No"
"0x0497cb71e2a9b118ce95834a8998ea465f8bce8f","35.6489122431149","No"
"0x04a4a0f1bed8927bee50583830a770915576761b","8.78968098818508","No"
"0x04a97306827e6406adc40ae346b1757f80e0bb0a","7.0561251788364E-05","No"
"0x04aaa289d7de2cda7261088e83aec60e06e514c6","4.40061829408313","No"
"0x04c89222715c4c45b9aa9efe14d2538776a6003e","8.30844119905849","No"
"0x04d2f26d66d7f0d291cabe79459557819a48b265","45.0339092370245","No"
"0x04d50dae507e89347dd768ee5a78ce656f85a704","0.000946335791444673","No"
"0x04d5248fdb200abfa872008ebf6b8063c6417eb4","7.69880483134673","No"
"0x04d7b15b9a2ccfcd682bacf8b04a54a494e265a6","0.0231322376034547","No"
"0x04d8b833257823035c42fb60e23aedeaaf26b241","2.90271468558659","No"
"0x04dfbb79fbb95ca9116a72af630465c21a2c0610","168.405918807421","No"
"0x04dff79597bd8f0414cfa268684cbd845944cdac","79.5434312141302","No"
"0x04e12960a051e4654680cbb09a8383c6008949c5","35.2442125505968","No"
