address,symbol,name,decimals,total_supply,block_number
0x1fe38769ed41fe7f47270c78d2f0507b508d06f0,HyMETEOR,HyperMeteor,18,1000000000000000000000000000000000,
0x211ffbe424b90e25a15531ca322adf1559779e45,BUX,BUX Token,18,76384000000000000000000000,
0x7bb89460599dbf32ee3aa50798bbceae2a5f7f6a,Cake-LP,Pancake LPs,18,228159085677410348013028,
0x78bc22a215c1ef8a2e41fa1c39cd7bdc09bd5174,RMOON,RocketMoon,9,1000000000000000000000000,
0xd307e7cc6a302046b7d91d83aa4b8324cfb7a786,mooApeBANANA,Moo Ape BANANA,18,1800389793137041360222633,
0x1e38c16687f23a687b8563d20348883019e3d842,UNDERDOGE,UnderDoge,9,1000000000000000000000,
0x86ef5e73edb2fea111909fe35afcc564572acc06,BANANASPLIT,BananaSplitBar Token,18,16677398320618002724948393,
0x86bbc9838c3370e0fd570b4ee8087f5aca299977,BB,BlackBerry Token,0,100000000000000,
0x3203c9e46ca618c8c1ce5dc67e7e9d75f5da2377,MBOX,Mobox,18,399830726424468517544050272,
0xcfefa64b0ddd611b125157c41cd3827f2e8e8615,KPAD,KickPad,18,203768315000000000000000000,
0xcbb09097d442f267f0780064a082ac06d947311f,OFOX,OrangeFox,8,99942681676444881574,
0xce195c777e1ce96c30ebec54c91d20417a068706,HUGO,Hugo Finance,9,2000000000000000000,
0x83b92d283cd279ff2e057bd86a95bdefffed6faa,Cake-LP,Pancake LPs,18,759753416523421168262,
0xe0e514c71282b6f4e823703a39374cf58dc3ea4f,BELT,BELT Token,18,2539400091599999999999978,
0xe12840d453922d734619042795ea3803c29221c4,DOGETRAIN,DTRAIN,18,1000000000000000000000000000000,
0xd3a3a69c575d81ce8e7cf1298ce760055a5669c1,BNFY,B Non-Fungible Yearn,18,100000000000000000000000,
0x547cbe0f0c25085e7015aa6939b28402eb0ccdac,XBN,Elastic BNB,18,6500000000000000000000000,
0x2354ef4df11afacb85a5c7f98b624072eccddbb1,Cake-LP,Pancake LPs,18,33181963309516428573466859,
0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,USDC,USD Coin,18,1778999999999999997504281044,
0x1af3f329e8be154074d8769d1ffa4ee058b1dbc3,DAI,Dai Token,18,261999999999999008105332639,
0x23396cf899ca06c4472205fc903bdb4de249d6fc,UST,Wrapped UST Token,18,79183894235826733821544594,
0x66fdb2eccfb58cf098eaa419e5efde841368e489,Cake-LP,Pancake LPs,18,33338010069644551521410752,
0x05faf555522fa3f93959f86b41a3808666093210,Cake-LP,Pancake LPs,18,22001533355064998598567955,
0x40c1b6f93901733629605d271268a6935f323748,CPR,CIPHER,18,1080000000000000000000000000,
0xd0e924fc4783d2c66932475e9706dbf357017539,BEEZ,BeeBand Token,18,2740894450557659773057138,
0xdd2ff3ce93c7161e5eb5c8f5d3163a8c49b70659,DARKMOON,DarkMoon,9,1000000000000000000000000,
0x4e8a9d0bf525d78fd9e0c88710099f227f6924cf,LUNAR,LunarHighway,9,1000000000000000000000000,
0xd513417d3ceb6331f21284ebb533952b95620a7e,FELA,Felatoken,9,100000000000000000000000000,
0x4e58b693092e33e46a8734b9c4064b82afdca14f,acsUSDC,ACryptoS USD Coin,18,11919920927434428361644913,
0xa7a0b605343df36b748ff4b5f7578b3f2d0651ce,Cake-LP,Pancake LPs,18,212835785416721482284983,
0x670de9f45561a2d02f283248f65cbd26ead861c8,U92,Uranium U92,18,622622138625989817026551,
0xeca88125a5adbe82614ffc12d0db554e2e2867c8,vUSDC,Venus USDC,8,1218320353562485947,
0x28d2e3bb1ec54a6ee8b3bee612f03a85d3ec0c0c,U235,Uranium share token U235,18,128197135056054599349324,
0x43f001914c7d347d152f296e8539086fe49f8bd6,NFI,Norse Finance,18,36000000000000000000000,
0xd1587ee50e0333f0c4adcf261379a61b1486c5d2,WINDY,WindSwap,8,1851036221798500,
0xf09611a964535b32285bff5fcf9937c52bab8ea5,EVDC,EVDC,18,467131840508158268023367245179500000000,
0xf8ce4f88632f4e9046cbb606594d5b79632c25d9,PandaBear,PandaBear,18,1000000000000000000000000000000000,
0xb5e1f0264e249a593019f3893bd2272fb79bab05,HOLD,HOLD,18,9187866430042726899487,
0xf1dfecaeb7a108e12f94fc556a5c149cb59f81f5,Cake-LP,Pancake LPs,18,14165196626034407459829,
0x2e291e1c9f85a86d0c58ae15621aac005a8b2ead,ZEP,Zeppelin.dao,9,1000000000000000000000000,
0x124e171b871b3852579783a4e5835c2a71fa52d1,MOK-LP,MOK Token LPs,18,57993094616660817588424,
0xca69c118fa550387794d48900a866891217e5c9f,MOK,Mocktail,18,5934483634587639323612621,
0x869dd7a64afbe5370a8c591d9b8650be60c0b8f6,FASTMOON,FastMoon,9,1000000000000000000000000,
0xb667bbfe0dcedae1a53555a0e8b0a14eaf0d5231,SAFECOMET,SafeComet,9,1000000000000000000000000,
0xd27d3f7f329d93d897612e413f207a4dbe8bf799,MOONSHOT,Moonshot,9,1000000000000000000000000,
0x5c21ba01e95890314b7f538a4dca9d89ff289860,Cake-LP,Pancake LPs,18,327496539320584088510,
0xec5d71ccdfea900d9194cc62bad428992adcec02,ShibaOnMoon,ShibaOnMoon,18,500000000000000000000000000000000,
0x0f556f4e47513d1a19be456a9af778d7e1a226b9,Cake-LP,Pancake LPs,18,944656934997196135742,
0x1b4d910c90f7c0f177a29139328594df5e0603f9,BBN,BigBunny,9,10000000000000000000,
0xa0718093baa3e7aae054eed71f303a4ebc1c076f,Cake-LP,Pancake LPs,18,19252466063980331830888,
0x380624a4a7e69db1ca07deecf764025fc224d056,SAFEBTC,SafeBTC,9,1000000000000000000000000,
0x190b589cf9fb8ddeabbfeae36a813ffb2a702454,BDO,bDollar,18,43418376169616254777392736,
0x81859801b01764d4f0fa5e64729f5a6c3b91435b,BFI,bearn.fi,18,48958367613506640351710,
0xd20e0bcca8b29409bf5726cb24dd779fe337020e,Cake-LP,Pancake LPs,18,11000847813002318344892,
0x38079fb834bc832b17b876dc3018e3101a9a43f9,CRD,Crypto Rural Dog Token,18,4200000000000000000000000000000000,
