contract_address,transaction_hash,log_index,block_number,event_type,minter,mintAmount,mintTokens
0xc89fbab3143ca9a41834b2818b33f4886e7fde01,0x41b18ca145020a0780946ccce22a1185790629a65ce6776d32f15f117172e9ee,537,6895576,Mint,0x05ff2b0db69458a0750badebc4f9e13add608c7f,43492052585894237764,168876299749284924156
0x7bb89460599dbf32ee3aa50798bbceae2a5f7f6a,0x34a9ba2a94824bf3d2bac46e0a20a257186f52ca41bb6970b427ad4256aed768,563,6895576,Mint,0x05ff2b0db69458a0750badebc4f9e13add608c7f,9441699439927520,13173741438694339
0x83b92d283cd279ff2e057bd86a95bdefffed6faa,0x400afaeb147f7220654da9d88cc0ccb795870802aeed8b5e090488ff1067a4e1,643,6895576,Mint,0x05ff2b0db69458a0750badebc4f9e13add608c7f,18968969778026380880,126000000000000000000
0x168b273278f3a8d302de5e879aa30690b7e6c28f,0x613af8ceb9933b49ae2d8cb2fb98947fd9affb48a296e054bce412d5ef874310,133,6895577,Mint,0x10ed43c718714eb63d5aa57b78b54704e256024e,33502700349434798172,930015915748307067
0x8e799cb0737525ceb8a6c6ad07f748535ff6377b,0x2be541523c3e61b9aff915b3bd2fd354a14f82ab81fa4d2f0b09a0053a7bda5b,199,6895577,Mint,0x10ed43c718714eb63d5aa57b78b54704e256024e,40000000000000000000,93730135378638171
0x17632dcda12c522ec2bc8a08c6419ab16f249d35,0x25f7d3245e2ab93aef5491de27e3ae8732bde8ddba2813f1dbadb0eeb7cdc6ed,218,6895577,Mint,0x7dae51bd3e3376b8c7c4900e9107f12be3af1ba8,4004206382137939844,4851444355133410470
0x8d42ee6f423a5016792e6d0d4508c05f30cac5bc,0x6d25538c5050a907cd8d88989b8fef57a1babd87a20d8da8f831d186cf9b936b,37,6895578,Mint,0x05ff2b0db69458a0750badebc4f9e13add608c7f,107989997656155891823,379279670000000000
0xdc9a574b9b341d4a98ce29005b614e1e27430e74,0x067ab2805ac9ed4b73ec924d89fc90d37ff3cc2c20ddc735e5122f095d4c27eb,281,6895578,Mint,0x10ed43c718714eb63d5aa57b78b54704e256024e,661784607312947622,547518761849259284767
0x97f6665ac6b2d7c3d5a2ad11d7a779787f617ce0,0x1bc045c58f376b75a0ff9d836458e5651ca4cc3f95bd7ef87d4d515de2fd1bc0,289,6895578,Mint,0x29d1adbb65d93a5710cafe2ef0e8131f64e6ab22,25380011615597692224778,1999999999999999999
0xa08c4571b395f81fbd3755d44eaf9a25c9399a4a,0x1f09d1995651db65ab799ea4c4cd4939f74775417ff815e26f9ed3f73dc7b855,451,6895578,Mint,0xf4ee46ac2ba83121f79c778ed0d950fff11a18ed,8772984258759997352,388349319430661937468
0x168b273278f3a8d302de5e879aa30690b7e6c28f,0x377bae207bfe917ee58bb5b880ae2a039c179664bd1eae90a199b1511a41d4dd,458,6895578,Mint,0x10ed43c718714eb63d5aa57b78b54704e256024e,194986540648306236991,5412715520487538888
0x0ed7e52944161450477ee417de9cd3a859b14fd0,0x515e26bfd9a1e6df5e8819d66ef82e25e57bdfc3171777dbb04ef81f4457c86d,478,6895578,Mint,0x10ed43c718714eb63d5aa57b78b54704e256024e,320842389949720391,20000000000000000
0x0ed7e52944161450477ee417de9cd3a859b14fd0,0x8bb53aa5ddbc0f9d0493be8825aa27222d40758a06fb6bebc20461af246f196d,496,6895578,Mint,0x10ed43c718714eb63d5aa57b78b54704e256024e,616445175199974996,38426666457420348
0x7bb89460599dbf32ee3aa50798bbceae2a5f7f6a,0xcac2cda962fc92e00415922e8eded82c0e29299dc7a176f41f11232fc058179f,565,6895578,Mint,0x05ff2b0db69458a0750badebc4f9e13add608c7f,7556662806221429,10543599448155409
0x7bb89460599dbf32ee3aa50798bbceae2a5f7f6a,0x1d963806c73b819b19d3d13535b57c5ca682cdc00897a16c97f5c85313b15823,742,6895578,Mint,0x05ff2b0db69458a0750badebc4f9e13add608c7f,2049661288445483,2859834653890429
0x151b1e2635a717bcdc836ecd6fbb62b674fe3e1d,0xf460d6adc1c186d189d57ee8f7572ac4ac8182f53d17484f0c222cc98aaa494a,75,6895579,Mint,0xe04ec790ba059f74752e321af3fd82d4c3d8331f,41522949678532954984,207441375008
0x3dcb1787a95d2ea0eb7d00887704eebf0d79bb13,0x7970c59326890735bedf4d772880069b8b8e6f76dfbdf14c6bd91c9a6d0e307b,224,6895579,Mint,0x10ed43c718714eb63d5aa57b78b54704e256024e,64795723467038388137,71618770399926660
0x0ed7e52944161450477ee417de9cd3a859b14fd0,0x52f3a05121d68f1cb9b88946f5c9a535f1f5d993db9ba6eccfa3d1950fd06bc5,346,6895579,Mint,0x10ed43c718714eb63d5aa57b78b54704e256024e,7218949458223168013,450000000000000000
0xf65c1c0478efde3c19b49ecbe7acc57bb6b1d713,0x3286a9b43064ed607f2a42127e67d42530af981bb559051d543b2c418c748a16,474,6895579,Mint,0xc0788a3ad43d79aa53b09c2eacc313a787d1d607,3693009277261236664,9981036009732722
0x2e8da1ec183c2854fe4973fd5edf3dc0e78b873d,0x273ef19163bd11e2e7bb0e257089492ab3e09655b1ce9e402be3140f72a065a5,568,6895579,Mint,0x05ff2b0db69458a0750badebc4f9e13add608c7f,24981696341414865144,334623439306094771
0x7bb89460599dbf32ee3aa50798bbceae2a5f7f6a,0xd603f082f4d0da0388a88444bdc703aeabcacfb055a74c278ddc315c8edeb03a,335,6895580,Mint,0x05ff2b0db69458a0750badebc4f9e13add608c7f,2097358497014933,2926385021768321
0xe86493d416eeb7800f08787de759d179b61db921,0xa78dcfd3fc705311840ea214e54aa474dd63967bb675644b8b2debd2ab1e4f92,137,6895581,Mint,0x05ff2b0db69458a0750badebc4f9e13add608c7f,1413292996665199708,163645400385338597254
